dt,order_ts,customer_id,order_id,item_seq,product_id,quantity,unit_price_currency,unit_price,discount_pct,tax_amount,channel,coupon_code
2025-01-04,2025-01-04 11:56:44,CUST000000279343,647264,1,2000000046372,Two,GBP,65,15%,21,app,PRIME5
2025-01-04,2025-01-04 11:56:44,CUST000000279343,647264,2,2000000237534,1,GBP,17,10%,2,app,PRIME5
2025-01-04,2025-01-04 13:11:31,CUST000000265397,647265,1,2000000275260,1,INR,44049,7%,4905,app,FEST20
2025-01-04,2025-01-04 08:32:00,CUST000000151761,647266,1,2000000009155,1,USD,$206,12%,33,app,
2025-01-04,2025-01-04 11:44:08,CUST000000097035,647267,1,2000000446769,1,INR,2613,1%,310,web,
2025-01-04,2025-01-04 11:44:08,CUST000000097035,647267,2,2000000235660,1,INR,4281,2%,760,web,
2025-01-04,2025-01-04 11:44:08,CUST000000097035,647267,3,2000000139791,1,INR,3057,0%,153,web,
2025-01-04,2025-01-04 11:44:08,CUST000000097035,647267,4,2000000054162,1,INR,19219,10%,2086,web,
2025-01-04,2025-01-04 16:21:11,CUST000000044610,647268,1,2000000250878,Two,CAD,63,1%,16,app,NEW10
2025-01-04,2025-01-04 16:21:11,CUST000000044610,647268,2,2000000358895,1,CAD,46,17%,2,app,NEW10
2025-01-04,2025-01-04 16:21:11,CUST000000044610,647268,3,2000000162072,1,CAD,2,16%,1,app,NEW10
2025-01-04,2025-01-04 14:37:39,CUST000000040706,647269,1,2000000210889,1,INR,296,8%,14,app,PRIME5
2025-01-04,2025-01-04 12:49:29,CUST000000044153,647270,1,2000000409528,1,INR,1390,0%,70,web,
2025-01-04,2025-01-04 10:34:53,CUST000000091249,647271,1,2000000140674,1,USD,$703,5%,81,web,NEW10
2025-01-04,2025-01-04 22:07:17,CUST000000232097,647272,1,2000000398976,1,INR,8948,0%,1611,app,
2025-01-04,2025-01-04 22:07:17,CUST000000232097,647272,2,2000000434346,3,INR,683,4%,236,app,
2025-01-04,2025-01-04 22:07:17,CUST000000232097,647272,3,2000000048949,Two,INR,15048,0%,1505,app,
2025-01-04,2025-01-04 02:45:47,CUST000000215417,647273,1,2000000346809,1,INR,94236,21%,8913,web,
2025-01-04,2025-01-04 02:45:47,CUST000000215417,647273,2,2000000255323,1,INR,7263,9%,793,web,
2025-01-04,2025-01-04 21:36:22,CUST000000068968,647274,1,2000000252858,Two,INR,5110,15%,1037,web,FEST20
2025-01-04,2025-01-04 14:31:21,CUST000000266939,647275,1,2000000281445,3,USD,$27,0%,15,app,FEST20
2025-01-04,2025-01-04 14:31:21,CUST000000266939,647275,2,2000000011639,1,USD,$21,11%,1,app,FEST20
2025-01-04,2025-01-04 14:31:21,CUST000000266939,647275,3,2000000276618,3,USD,$5,6%,1,app,FEST20
2025-01-04,2025-01-04 14:31:21,CUST000000266939,647275,4,2000000383354,1,USD,$98,15%,11,app,FEST20
2025-01-04,2025-01-04 14:31:21,CUST000000266939,647275,5,2000000496139,1,USD,$26,12%,3,app,FEST20
2025-01-04,2025-01-04 23:13:17,CUST000000171733,647276,1,2000000192819,1,GBP,78,9%,4,web,SAVE50
2025-01-04,2025-01-04 07:07:58,CUST000000249826,647277,1,2000000281117,Two,INR,13979,5%,3174,app,NEW10
2025-01-04,2025-01-04 07:07:58,CUST000000249826,647277,2,2000000022321,1,INR,2070,0%,249,app,NEW10
2025-01-04,2025-01-04 22:01:52,CUST000000022287,647278,1,2000000092027,1,INR,2753,10%,299,app,
2025-01-04,2025-01-04 21:48:42,CUST000000015534,647279,1,2000000280615,Two,USD,$43,0%,16,web,
2025-01-04,2025-01-04 21:34:14,CUST000000256814,647280,1,2000000487434,1,INR,11488,8%,531,app,FEST20
2025-01-04,2025-01-04 00:31:26,CUST000000217034,647281,1,2000000249384,1,INR,2087,12%,221,app,NEW10
2025-01-04,2025-01-04 00:31:26,CUST000000217034,647281,2,2000000253619,1,INR,875,4%,101,app,NEW10
2025-01-04,2025-01-04 00:31:26,CUST000000217034,647281,3,2000000245034,1,INR,2696,8%,298,app,NEW10
2025-01-04,2025-01-04 09:31:45,CUST000000262016,647282,1,2000000116372,Two,AUD,608,22%,114,app,NEW10
2025-01-04,2025-01-04 05:43:46,CUST000000265850,647283,1,2000000493923,1,AUD,27,16%,3,app,FEST20
2025-01-04,2025-01-04 10:01:05,CUST000000038832,647284,1,2000000347714,1,USD,$72,6%,13,web,
2025-01-04,2025-01-04 23:04:39,CUST000000109822,647285,1,2000000272337,1,INR,697,3%,123,web,FEST20
2025-01-04,2025-01-04 05:31:03,CUST000000094867,647286,1,2000000436555,1,INR,9463,9%,1038,web,
2025-01-04,2025-01-04 05:31:03,CUST000000094867,647286,2,2000000301921,1,INR,1620,20%,233,web,
2025-01-04,2025-01-04 05:31:03,CUST000000094867,647286,3,2000000267685,1,INR,90358,0%,4518,web,
2025-01-04,2025-01-04 05:31:03,CUST000000094867,647286,4,2000000062235,Two,INR,22840,1%,5431,web,
2025-01-04,2025-01-04 23:36:17,CUST000000151052,647287,1,2000000409399,Two,INR,21908,18%,6444,app,SAVE50
2025-01-04,2025-01-04 23:36:17,CUST000000151052,647287,2,2000000461557,1,INR,96310,0%,17336,app,SAVE50
2025-01-04,2025-01-04 15:17:23,CUST000000208699,647288,1,2000000317113,1,INR,641,0%,78,web,NEW10
2025-01-04,2025-01-04 21:19:42,CUST000000170360,647289,1,2000000400686,1,USD,$20,6%,4,web,
2025-01-04,2025-01-04 23:48:51,CUST000000124425,647290,1,2000000076928,1,AUD,109,8%,5,web,NEW10
2025-01-04,2025-01-04 21:42:26,CUST000000184438,647291,1,2000000374703,Two,AUD,788,8%,175,app,
2025-01-04,2025-01-04 21:42:26,CUST000000184438,647291,2,2000000029399,1,AUD,52,0%,10,app,
2025-01-04,2025-01-04 21:42:26,CUST000000184438,647291,3,2000000133560,1,AUD,72,4%,13,app,
2025-01-04,2025-01-04 05:15:21,CUST000000200826,647292,1,2000000080758,Two,USD,$22,0%,6,app,
2025-01-04,2025-01-04 01:01:57,CUST000000242467,647293,1,2000000200781,1,USD,$60,20%,6,web,PRIME5
2025-01-04,2025-01-04 22:37:42,CUST000000268962,647294,1,2000000039633,1,INR,15877,8%,1756,web,
2025-01-04,2025-01-04 12:06:53,CUST000000135862,647295,1,2000000493152,1,GBP,3,9%,1,app,
2025-01-04,2025-01-04 04:28:57,CUST000000089324,647296,1,2000000406749,1,AUD,27,4%,4,app,NEW10
2025-01-04,2025-01-04 03:35:17,CUST000000118090,647297,1,2000000050577,1,SGD,248,14%,11,web,
2025-01-04,2025-01-04 02:20:00,CUST000000125002,647298,1,2000000257945,1,INR,427,22%,40,web,FEST20
2025-01-04,2025-01-04 01:51:16,CUST000000060667,647299,1,2000000270296,4,AED,92,0%,67,app,FEST20
2025-01-04,2025-01-04 01:51:16,CUST000000060667,647299,2,2000000496276,1,AED,105,3%,13,app,FEST20
2025-01-04,2025-01-04 00:20:36,CUST000000085550,647300,1,2000000318097,1,INR,24263,10%,2615,app,
2025-01-04,2025-01-04 00:20:36,CUST000000085550,647300,2,2000000339221,1,INR,4355,3%,506,app,
2025-01-04,2025-01-04 03:48:54,CUST000000127508,647301,1,2000000121499,1,GBP,119,0%,6,web,
2025-01-04,2025-01-04 03:48:54,CUST000000127508,647301,2,2000000258188,1,GBP,25,2%,2,web,
2025-01-04,2025-01-04 22:59:45,CUST000000038048,647302,1,2000000467429,1,INR,2007,7%,93,web,PRIME5
2025-01-04,2025-01-04 22:59:45,CUST000000038048,647302,2,2000000214078,1,INR,9403,1%,464,web,PRIME5
2025-01-04,2025-01-04 22:59:45,CUST000000038048,647302,3,2000000125770,1,INR,1053,9%,116,web,PRIME5
2025-01-04,2025-01-04 22:59:45,CUST000000038048,647302,4,2000000417691,1,INR,5099,0%,255,web,PRIME5
2025-01-04,2025-01-04 02:58:48,CUST000000081600,647303,1,2000000221816,1,AUD,2,0%,1,app,PRIME5
2025-01-04,2025-01-04 02:58:48,CUST000000081600,647303,2,2000000158594,1,AUD,184,10%,9,app,PRIME5
2025-01-04,2025-01-04 20:29:43,CUST000000147106,647304,1,2000000382388,Two,INR,866,0%,313,web,PRIME5
2025-01-04,2025-01-04 07:12:59,CUST000000199681,647305,1,2000000453903,1,INR,1105,10%,120,app,FEST20
2025-01-04,2025-01-04 01:22:24,CUST000000114220,647306,1,2000000484037,1,GBP,100,0%,6,web,FEST20
2025-01-04,2025-01-04 05:37:52,CUST000000125481,647307,1,2000000360188,1,INR,2705,10%,438,app,SAVE50
2025-01-04,2025-01-04 23:56:30,CUST000000276932,647308,1,2000000260440,1,INR,2535,14%,395,app,FEST20
2025-01-04,2025-01-04 23:56:30,CUST000000276932,647308,2,2000000491066,1,INR,1520,8%,169,app,FEST20
2025-01-04,2025-01-04 23:56:30,CUST000000276932,647308,3,2000000121260,3,INR,5580,0%,2010,app,FEST20
2025-01-04,2025-01-04 23:56:30,CUST000000276932,647308,4,2000000397979,1,INR,26327,12%,2793,app,FEST20
2025-01-04,2025-01-04 03:09:53,CUST000000215219,647309,1,2000000154985,1,INR,1752,20%,169,web,
2025-01-04,2025-01-04 03:09:53,CUST000000215219,647309,2,2000000276366,1,INR,1853,21%,175,web,
2025-01-04,2025-01-04 14:00:48,CUST000000244732,647310,1,2000000301853,1,INR,2797,20%,268,web,FEST20
2025-01-04,2025-01-04 14:00:48,CUST000000244732,647310,2,2000000346250,Two,INR,526,19%,43,web,FEST20
2025-01-04,2025-01-04 03:03:21,CUST000000287354,647311,1,2000000237480,1,INR,1021,0%,52,app,
2025-01-04,2025-01-04 03:03:21,CUST000000287354,647311,2,2000000054117,1,INR,1123,20%,45,app,
2025-01-04,2025-01-04 03:03:21,CUST000000287354,647311,3,2000000339375,1,INR,3205,0%,385,app,
2025-01-04,2025-01-04 03:03:21,CUST000000287354,647311,4,2000000317878,Two,INR,28666,0%,2867,app,
2025-01-04,2025-01-04 15:11:04,CUST000000054556,647312,1,2000000475370,1,INR,1521,22%,142,app,
2025-01-04,2025-01-04 02:22:29,CUST000000055812,647313,1,2000000395111,1,INR,7782,0%,934,web,NEW10
2025-01-04,2025-01-04 04:33:45,CUST000000232655,647314,1,2000000378329,1,INR,268,0%,14,app,
2025-01-04,2025-01-04 09:09:02,CUST000000060063,647315,1,2000000210360,1,GBP,55,7%,7,app,
2025-01-04,2025-01-04 04:17:47,CUST000000158677,647316,1,2000000023588,1,AED,87,9%,15,web,
2025-01-04,2025-01-04 23:49:25,CUST000000203701,647317,1,2000000113449,Two,INR,3775,2%,1326,app,
2025-01-04,2025-01-04 09:40:36,CUST000000149161,647318,1,2000000357768,1,USD,$4,9%,1,web,FEST20
2025-01-04,2025-01-04 09:40:36,CUST000000149161,647318,2,2000000374307,1,USD,$2,0%,1,web,FEST20
2025-01-04,2025-01-04 09:40:36,CUST000000149161,647318,3,2000000367392,1,USD,$53,7%,3,web,FEST20
2025-01-04,2025-01-04 16:58:40,CUST000000026973,647319,1,2000000002903,1,INR,3927,7%,182,web,
2025-01-04,2025-01-04 16:58:40,CUST000000026973,647319,2,2000000414218,1,INR,857,21%,82,web,
2025-01-04,2025-01-04 22:14:55,CUST000000257709,647320,1,2000000211237,Two,INR,5902,6%,1333,app,
2025-01-04,2025-01-04 06:07:40,CUST000000232834,647321,1,2000000367606,1,INR,938,12%,42,web,
2025-01-04,2025-01-04 18:44:49,CUST000000030637,647322,1,2000000369501,1,AUD,4,15%,1,app,
2025-01-04,2025-01-04 18:44:49,CUST000000030637,647322,2,2000000100333,1,AUD,644,0%,78,app,
2025-01-04,2025-01-04 02:01:16,CUST000000047095,647323,1,2000000334509,Two,INR,1838,0%,184,app,
2025-01-04,2025-01-04 21:09:16,CUST000000026727,647324,1,2000000494913,Two,AED,651,10%,59,web,FEST20
2025-01-04,2025-01-04 17:24:02,CUST000000039756,647325,1,2000000400563,1,AED,152,24%,6,app,
2025-01-04,2025-01-04 03:26:36,CUST000000112763,647326,1,2000000439297,1,INR,7665,0%,384,app,PRIME5
2025-01-04,2025-01-04 03:26:36,CUST000000112763,647326,2,2000000354477,1,INR,5673,8%,262,app,PRIME5
2025-01-04,2025-01-04 03:50:24,CUST000000108997,647327,1,2000000468471,1,CAD,40,16%,2,app,
2025-01-04,2025-01-04 02:57:17,CUST000000270427,647328,1,2000000323152,1,INR,33669,2%,3969,web,
